Algorithm,Year,Description,Best,Mean,Worst,Std,Time_s,NFE
CPO,2024,Crested Porcupine Optimizer,1.5516508900503931,1.551609819786267,1.5509604750853527,0.00013314494800986286,0.10445512999722269,4450
SBOA,2024,Secretary Bird Optimization Algorithm,1.551650683123948,1.5515354538204895,1.5509533779764126,0.0002249929604031269,0.17368683666669918,12030
DBO,2023,Dung Beetle Optimizer,1.5516510414663442,1.549625732598703,1.542215279684385,0.0024616455902495143,0.09648682333645411,6030
COA,2023,Crayfish Optimization Algorithm,1.5511050335486087,1.5376933629108813,1.4410448113442889,0.0228226380065848,0.08795591666324375,6030
PSO,1995,Particle Swarm Optimization (baseline),1.5497091018680207,1.5343550900802356,1.4403813582207392,0.023763434900377255,0.05067658999954195,6030
KOA,2023,Kepler Optimization Algorithm,1.5492620905927534,1.4976569570255707,1.4018466171263018,0.041773577842794,0.20002695666529083,6030
