Date,AAPL,MSFT,NVDA,JPM,GS,JNJ,PFE,KO,PG,WMT,XOM,CAT
2019-01-02,37.469207763671875,94.1931381225586,3.376983880996704,80.83650207519531,145.39170837402344,103.79100036621094,28.818653106689453,37.58269119262695,75.3482437133789,27.913772583007812,49.66474533081055,108.02359771728516
2019-01-03,33.73698043823242,90.72797393798828,3.1729562282562256,79.68769073486328,143.2618865966797,102.14168548583984,28.01239585876465,37.35044479370117,74.81995391845703,27.770233154296875,48.9022102355957,103.86095428466797
2019-01-04,35.17721939086914,94.94762420654297,3.376239538192749,82.62539672851562,147.9440460205078,103.85599517822266,28.652070999145508,38.09521484375,76.34706115722656,27.94368553161621,50.70521926879883,109.53649139404297
2019-01-07,35.09891128540039,95.0687255859375,3.554980516433716,82.6828384399414,148.76385498046875,103.18975830078125,28.805334091186523,37.59870147705078,76.04165649414062,28.272642135620117,50.968910217285156,109.60487365722656
2019-01-08,35.76799774169922,95.75804901123047,3.4664783477783203,82.52691650390625,148.21449279785156,105.58651733398438,28.938594818115234,38.02313995361328,76.32231140136719,28.470022201538086,51.33946990966797,110.92121124267578
2019-01-09,36.375396728515625,97.12734985351562,3.534651756286621,82.3874282836914,149.14414978027344,104.74967956542969,28.87862205505371,37.29438018798828,75.07583618164062,28.377309799194336,51.61027526855469,111.34859466552734
2019-01-10,36.49165344238281,96.50324249267578,3.6003470420837402,82.37921142578125,148.74691772460938,105.38339233398438,28.192306518554688,37.69480895996094,75.2574462890625,28.39824676513672,51.34659957885742,113.64788818359375
2019-01-11,36.133399963378906,95.75804901123047,3.68959379196167,81.98535919189453,149.53294372558594,105.41590881347656,28.57210922241211,37.91101837158203,75.75272369384766,28.36236000061035,51.111427307128906,112.91280364990234
2019-01-14,35.59006118774414,95.05943298339844,3.729506492614746,82.83053588867188,151.0457305908203,104.22156524658203,28.2322940826416,37.75888442993164,75.24095916748047,28.395254135131836,51.04728698730469,112.65635681152344
2019-01-15,36.3184700012207,97.81665802001953,3.7153759002685547,83.43777465820312,152.05145263671875,105.09903717041016,28.472164154052734,38.09521484375,75.95084381103516,28.784027099609375,51.0758056640625,111.70756530761719
