PSO,DBO,COA,KOA,CPO,SBOA
1.5496960016588122,1.5426267521811419,1.5490573449967286,1.5438491690927632,1.5516494551429563,1.551648419336847
1.5496960016588124,1.5474240020406935,1.5479649526803978,1.486340177812318,1.551650270454487,1.5516336028872928
1.549002275389764,1.5516510414663442,1.5496207002691105,1.5438491782868773,1.5516482421411764,1.551646428201157
1.4905034955558547,1.5459385060133752,1.546639000890813,1.4956105526021806,1.5516488658313763,1.5516100543190763
1.5264068621892628,1.5474240020406937,1.5511050335486087,1.5242506435773506,1.5516491427340515,1.551643610897801
1.547656671685693,1.5516510414663442,1.5485438658966222,1.540423777041963,1.551643643505437,1.5516016214567516
1.548962448053653,1.5497482617989087,1.4410448113442889,1.4917250359484937,1.5516502229840405,1.5516360763202413
1.4403813582207392,1.551651041466344,1.547341691106118,1.4403764503217333,1.5515450745670347,1.5516297529846115
1.5242506451751825,1.549586945358066,1.5489715900501784,1.5224280434031254,1.5516429972110217,1.5510006797951712
1.548962448053653,1.5509598033195555,1.548048677127137,1.5325862633019482,1.551629206892327,1.5516312884627694
1.547656671685693,1.551651041466344,1.5476280618409515,1.4948097731798908,1.5516467704321304,1.5516372237747469
1.5094620930328673,1.5511827036028298,1.544730229384491,1.5448104534413125,1.5516503316745984,1.5516400481463477
1.5497091018680207,1.5509598033195555,1.5449271300418637,1.4965050875517474,1.551650824638702,1.5516328078786943
1.541328417619035,1.542215279684385,1.5459385059934305,1.4527346027891845,1.5516508900503931,1.551650683123948
1.549002275389764,1.5516510414663207,1.542349366806372,1.4506745185687338,1.5516192300379492,1.5516471967192667
1.5455679046844717,1.5474240020406937,1.5294557866538325,1.4539761887272045,1.5516453542216884,1.5516361418022788
1.547656671685693,1.5509607508506562,1.5490324462289053,1.547866592685458,1.5516491526423566,1.5509533779764126
1.548962448053653,1.5474240020406937,1.5467269566230384,1.5224280434031254,1.5516502427327634,1.5516376112960673
1.5264068621892628,1.5496207002709756,1.5508811106049702,1.4965218046615463,1.5516491917067765,1.5516499766190128
1.4958135291530938,1.5509607508506558,1.5363359825312053,1.4018466171263018,1.5516468406569037,1.5516477608438308
1.5456452461249088,1.5509598033195555,1.5478301705242357,1.4979483270265146,1.5516427234194887,1.5509604009771913
1.547656671685693,1.5496207002709759,1.5458890554338165,1.4338643018075523,1.5516421567949958,1.5515935241695338
1.5264068621892628,1.549408295759786,1.5493673755317539,1.5438491779145394,1.551650883581348,1.5516480948910976
1.548962448053653,1.5509598033195553,1.546899492203136,1.4386972370394546,1.5509604750853527,1.5516347018507908
1.547656671685693,1.5509598033195553,1.5242506451751825,1.5492620905927534,1.5516443395571329,1.5511646413409323
1.548962448053653,1.5496207002709756,1.4905034955558547,1.4905034955558547,1.5516508576208652,1.5516251060610668
1.548962448053653,1.5516510414663442,1.4990527642074776,1.5224280434031254,1.5516485519771004,1.5511181180707978
1.5265019991790496,1.5509607508506562,1.5339045506836977,1.424563955640384,1.551650794202134,1.5516462719355997
1.5264068621892628,1.5509598033195555,1.5296554423517346,1.5224280434031254,1.5513465846533827,1.5516168577068397
1.5264068621892628,1.5509598033195529,1.5471046510404893,1.5225510648605598,1.5516412764380372,1.5516415347685149
