algo,pop,iter,mean_sharpe,std_sharpe,time_s
CPO,10,100,1.550243228991863,0.0018938363626656287,0.03536477999975129
CPO,10,200,1.5508880750209204,0.0017839518695103734,0.0733625266662178
CPO,10,300,1.5509104563037022,0.0017691545765042185,0.11159077333383417
CPO,20,100,1.5514885780390877,0.0001424663406914592,0.07375486666666499
CPO,20,200,1.5516403706920925,2.5093549578291657e-05,0.127770006666348
CPO,20,300,1.5516487279693465,4.2598082589431665e-06,0.19666968666618534
CPO,30,100,1.5515718911583858,7.26211534152396e-05,0.11276084666703051
CPO,30,200,1.5516422710617208,1.3907438358377327e-05,0.21384745999918475
CPO,30,300,1.551650640527914,9.808331433695497e-07,0.3162315200005347
CPO,50,100,1.5516318957200723,2.668361621432413e-05,0.18420811333344317
CPO,50,200,1.5516493479565479,2.6807930424929276e-06,0.3576294133332946
CPO,50,300,1.5516509674612808,4.740081475367759e-07,0.5215757533335516
SBOA,10,100,1.548263218554596,0.004742984490873479,0.058920573333549935
SBOA,10,200,1.5493845545982297,0.002731857727701034,0.11142683333309833
SBOA,10,300,1.5497997312031366,0.0024956059551465774,0.19569147333386355
SBOA,20,100,1.5512727094961662,0.0005984996492865156,0.12627064000019647
SBOA,20,200,1.5513772562101622,0.0005140574546329123,0.27831579333287665
SBOA,20,300,1.5512867867956501,0.0006388564965269931,0.35034630000009204
SBOA,30,100,1.5515358224091347,0.0002336493987100193,0.18629914666623032
SBOA,30,200,1.5515872095998844,0.00016703872644925562,0.35172321333375295
SBOA,30,300,1.551595990336085,0.00017166479602785496,0.5241627333336509
SBOA,50,100,1.5516354844564053,1.7151515788114583e-05,0.2874319066662186
SBOA,50,200,1.551645937709595,3.9983628519874496e-06,0.5967262400003771
SBOA,50,300,1.5516466087034668,3.2007910878175434e-06,0.8585757599998033
DBO,10,100,1.5422728354922086,0.021508390130877453,0.03094662000075914
DBO,10,200,1.5490119211353242,0.0025234329695302798,0.06809276000033909
DBO,10,300,1.5485939981155317,0.002578711183174509,0.10248010666691698
DBO,20,100,1.5488674994745655,0.0021157703973468927,0.0626187533334208
DBO,20,200,1.5496364910446279,0.0017310929137447266,0.11361640666630896
DBO,20,300,1.5484910321417238,0.002325854475212355,0.16834658000055544
DBO,30,100,1.5504976576013698,0.0015565745745191035,0.08715986666696457
DBO,30,200,1.5503498684300634,0.0017092812939334106,0.16760866666639535
DBO,30,300,1.5508765206509276,0.001125562660242227,0.27122517333288365
DBO,50,100,1.5507917856888485,0.0011554993197183657,0.13961642666642243
DBO,50,200,1.5514496958296968,0.0003003076749997446,0.3201813266661096
DBO,50,300,1.5510561548244586,0.0011196352183034876,0.47869026666642944
